date,value
2014-06-13,615.14
2014-06-14,601.27
2014-06-15,592.94
2014-06-16,608.72
2014-06-17,610.89
2014-06-18,615.88
2014-06-19,612.24
2014-06-20,599.75
2014-06-21,486.21
2014-06-29,486.22
2014-06-30,600.12
2014-07-01,604.47
2014-07-02,604.08
2014-07-03,645.15
2014-07-04,657.86
